entity_id	connectivity	display_name
ent_players	3.000000	Players
ent_the_wolf	1.876055	the Wolf
ent_guards	1.697936	Guards
ent_mirathorn	1.563710	Mirathorn
ent_bonogo	1.542796	ent_bonogo
ent_headmaster_tinkerbright	1.474040	Headmaster Tinkerbright
ent_guard	1.353696	Guard
ent_city_council	1.350835	City Council
ent_commander_thalia_ashenvale	1.322653	Commander Thalia Ashenvale
ent_stafl	1.266398	Stafl
ent_wizards_college	1.236954	Wizard’s College
ent_grobnok_the_goblin	1.213950	Grobnok the Goblin
ent_thalia	1.199729	Thalia
ent_caelynn_the_half_elf_sorcerer	1.181306	ent_caelynn_the_half_elf_sorcerer
ent_karsemine_the_tiefling_ranger	1.110337	Karsemine the Tiefling Ranger
ent_sewers	1.102960	sewers
ent_ephanna_the_kenku_warlock	1.086925	Ephanna the Kenku Warlock
ent_barin	1.078054	Barin Stonefoot
ent_mayor_elara_swiftwind	1.058014	Mayor Elara Swiftwind
ent_float_goats	1.046008	Float Goats
ent_the_festival	1.011759	the festival
ent_tunnels	0.998685	tunnels
ent_merril	0.988221	Merril Tealeaf
ent_baergrom_the_dwarf_fighter	0.965856	Baergrom the Dwarf Fighter
ent_council_room	0.951567	Council Chambers
ent_rurik	0.920847	Rurik Stonehammer
ent_gnome	0.899025	Gnome
ent_rurik_stonehammer	0.872552	Rurik Stonehammer
ent_grit_and_grime	0.864956	Grit and Grime
ent_out_town	0.852638	Out Town
ent_torrin_flamescale	0.849554	Torrin Flamescale
ent_merril_tealeaf	0.817934	Merril Tealeaf
ent_corrupted_meat	0.815131	corrupted meat
ent_shepherds_flock	0.803839	Shepherd's Flock
ent_ancient_walls	0.782624	Ancient Walls
ent_shepherds_flock_cultists	0.775201	Shepherd's Flock cultists
ent_the_party	0.771361	party members
ent_tainted_goods	0.762613	Tainted goods
ent_population	0.757015	Population
ent_bubbles	0.753918	Float Goats
ent_ritual_of_expansion	0.744991	Ritual of Expansion
ent_ancient_wards	0.740251	ancient wards
ent_covert_ops_mission	0.729817	Covert Ops Mission
ent_goblins	0.718429	goblins
ent_guardhouses	0.714421	guardhouses
ent_hidden_passages	0.699661	hidden passages
ent_torrin	0.697753	Torrin
ent_the_arcane	0.683946	the Arcane
ent_bugbears	0.676248	bugbears
ent_chandelier	0.669282	chandelier
