question_number,question_id,mode,group_id,required_lane,expected_rendered_section,candidate_match_count,first_raw_rank,first_raw_ref,first_raw_source_kind,first_admittable_ref,first_lane_compatible_ref,first_admitted_ref,first_rendered_ref,first_lane_accepted_ref,first_source_derived_gap_ref,visibility_excluded,admitted,admission_rejection_reason,rendered,rendered_section,legacy_match,lane_aware_accepted,lane_aware_rejection_reason,miss_root_cause,grading_context_kind,effective_grading_surface
1,q01_who_are_the_npcs_the_players_encountered,prior_only,pippa_character_continuity,character_party_behavior,character_party_behavior,15,1,corpus:npc:bubbles_the_float_goat:suggested-reads-in-order,npc_hub,corpus:location:stone_bridge:canon-summary,corpus:npc:bubbles_the_float_goat:bubbles-at-the-table,corpus:location:stone_bridge:canon-summary,corpus:location:stone_bridge:canon-summary,corpus:npc:bubbles_the_float_goat:bubbles-at-the-table,,False,True,admitted,True,location_worldbuilding,True,True,,ok,admitted_context,admitted_context
1,q01_who_are_the_npcs_the_players_encountered,prior_only,bubbles_character_continuity,character_party_behavior,character_party_behavior,17,1,corpus:npc:bubbles_the_float_goat:suggested-reads-in-order,npc_hub,corpus:location:stone_bridge:canon-summary,corpus:npc:bubbles_the_float_goat:bubbles-at-the-table,corpus:location:stone_bridge:canon-summary,corpus:location:stone_bridge:canon-summary,corpus:npc:bubbles_the_float_goat:bubbles-at-the-table,,False,True,admitted,True,location_worldbuilding,True,True,,ok,admitted_context,admitted_context
1,q01_who_are_the_npcs_the_players_encountered,prior_only,grishna_character_continuity,character_party_behavior,character_party_behavior,11,6,corpus:location:stone_bridge:campaign-canon-npcs-anchored-here,location_hub,corpus:npc:pippa:table-role,corpus:npc:pippa:table-role,corpus:npc:pippa:table-role,corpus:npc:pippa:table-role,corpus:npc:pippa:table-role,,False,True,admitted,True,character_party_behavior,True,True,,ok,admitted_context,admitted_context
1,q01_who_are_the_npcs_the_players_encountered,prior_only,stone_bridge_location_support_context,location_worldbuilding,location_worldbuilding,14,2,corpus:location:stone_bridge:canon-summary,location_hub,corpus:location:stone_bridge:canon-summary,corpus:location:stone_bridge:canon-summary,corpus:location:stone_bridge:canon-summary,corpus:location:stone_bridge:canon-summary,corpus:location:stone_bridge:canon-summary,,False,True,admitted,True,location_worldbuilding,True,True,,ok,admitted_context,admitted_context
3,q03_how_far_away_is_mirathorn_at_this_point,prior_only,mirathorn_distance_estimate_from_play,prior_campaign_memory,prior_campaign_memory,10,14,corpus:location:stone_bridge:retrieval-keywords,location_hub,corpus:location:stone_bridge:canonical-name-and-legacy-spellings,,corpus:location:stone_bridge:canonical-name-and-legacy-spellings,corpus:location:stone_bridge:canonical-name-and-legacy-spellings,,,False,True,admitted,True,location_worldbuilding,True,False,incompatible_required_lane,strict_gold_lane_mismatch,admitted_context,admitted_context
3,q03_how_far_away_is_mirathorn_at_this_point,prior_only,mirathorn_exact_route_gap,known_gap,known_gaps_and_safety_constraints,0,,,,,,,source_gap:mirathorn_exact_route_gap,source_gap:mirathorn_exact_route_gap,source_gap:mirathorn_exact_route_gap,False,False,,True,known_gaps_and_safety_constraints,False,True,,ok,admitted_context,admitted_context
3,q03_how_far_away_is_mirathorn_at_this_point,prior_only,stone_bridge_location_context,location_worldbuilding,location_worldbuilding,18,1,corpus:npc:bubbles_the_float_goat:suggested-reads-in-order,npc_hub,corpus:npc:bubbles_the_float_goat:bubbles-at-the-table,corpus:location:stone_bridge:canon-summary,corpus:npc:bubbles_the_float_goat:bubbles-at-the-table,corpus:npc:bubbles_the_float_goat:bubbles-at-the-table,corpus:location:stone_bridge:canon-summary,,False,True,admitted,True,character_party_behavior,True,True,,ok,admitted_context,admitted_context
1,q01_who_are_the_npcs_the_players_encountered,prior_plus_support_content_only,pippa_character_continuity,character_party_behavior,character_party_behavior,10,1,corpus:npc:bubbles_the_float_goat:suggested-reads-in-order,npc_hub,corpus:location:stone_bridge:canon-summary,corpus:npc:bubbles_the_float_goat:bubbles-at-the-table,corpus:location:stone_bridge:canon-summary,corpus:location:stone_bridge:canon-summary,corpus:npc:bubbles_the_float_goat:bubbles-at-the-table,,False,True,admitted,True,location_worldbuilding,True,True,,ok,admitted_context,admitted_context
1,q01_who_are_the_npcs_the_players_encountered,prior_plus_support_content_only,bubbles_character_continuity,character_party_behavior,character_party_behavior,12,1,corpus:npc:bubbles_the_float_goat:suggested-reads-in-order,npc_hub,corpus:location:stone_bridge:canon-summary,corpus:npc:bubbles_the_float_goat:bubbles-at-the-table,corpus:location:stone_bridge:canon-summary,corpus:location:stone_bridge:canon-summary,corpus:npc:bubbles_the_float_goat:bubbles-at-the-table,,False,True,admitted,True,location_worldbuilding,True,True,,ok,admitted_context,admitted_context
1,q01_who_are_the_npcs_the_players_encountered,prior_plus_support_content_only,grishna_character_continuity,character_party_behavior,character_party_behavior,6,6,corpus:location:stone_bridge:campaign-canon-npcs-anchored-here,location_hub,corpus:npc:pippa:table-role,corpus:npc:pippa:table-role,corpus:npc:pippa:table-role,corpus:npc:pippa:table-role,corpus:npc:pippa:table-role,,False,True,admitted,True,character_party_behavior,True,True,,ok,admitted_context,admitted_context
