question_id,group_id,mode,required_lane,expected_rendered_section,label,expected_path,expected_source_kind,expected_subject_class,expected_terms,source_exists_on_disk,allowed_by_retrieval_hygiene,included_in_retrieval_records,indexed,lexical_file_probe_hit,retrieval_probe_hit,step2c_known_gap_hit,step2c_retrieved_hit,step2c_candidate_hit,classification_status,notes
q01_who_are_the_npcs_the_players_encountered,pippa_character_continuity,prior_only,character_party_behavior,character_party_behavior,pippa,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/NPCs/pippa/README.md,npc_hub_or_dossier,npc,"['Pippa', 'Pippa Goldwhistle']",True,True,True,True,True,True,False,True,True,ok_or_later_stage,retrieval_probe_hit uses query_session_memory_candidate over Step2C record universe
q01_who_are_the_npcs_the_players_encountered,pippa_character_continuity,prior_only,character_party_behavior,character_party_behavior,pippa,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/NPCs/pippa/pippa_character_dossier.md,npc_hub_or_dossier,npc,"['Pippa', 'Pippa Goldwhistle']",True,True,True,True,True,True,False,True,True,ok_or_later_stage,retrieval_probe_hit uses query_session_memory_candidate over Step2C record universe
q01_who_are_the_npcs_the_players_encountered,bubbles_character_continuity,prior_only,character_party_behavior,character_party_behavior,bubbles,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/NPCs/bubbles_the_float_goat/README.md,npc_hub_or_dossier,npc,"['Bubbles', 'Float Goat']",True,True,True,True,True,True,False,True,True,ok_or_later_stage,retrieval_probe_hit uses query_session_memory_candidate over Step2C record universe
q01_who_are_the_npcs_the_players_encountered,bubbles_character_continuity,prior_only,character_party_behavior,character_party_behavior,bubbles,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/NPCs/bubbles_the_float_goat/bubbles_the_float_goat_character_dossier.md,npc_hub_or_dossier,npc,"['Bubbles', 'Float Goat']",True,True,True,True,True,True,False,True,True,ok_or_later_stage,retrieval_probe_hit uses query_session_memory_candidate over Step2C record universe
q01_who_are_the_npcs_the_players_encountered,grishna_character_continuity,prior_only,character_party_behavior,character_party_behavior,grishna,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/NPCs/grishna/README.md,npc_hub_or_dossier,npc,"['Grishna', ""River's Edge Pub""]",True,True,True,True,True,True,False,False,False,source_exists_but_step2c_miss,retrieval_probe_hit uses query_session_memory_candidate over Step2C record universe
q01_who_are_the_npcs_the_players_encountered,stone_bridge_location_support_context,prior_only,location_worldbuilding,location_worldbuilding,stone_bridge,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/Locations/stone_bridge/README.md,location_hub,location,"['Stone Bridge', 'flood']",True,True,True,True,True,True,False,True,True,ok_or_later_stage,retrieval_probe_hit uses query_session_memory_candidate over Step2C record universe
q03_how_far_away_is_mirathorn_at_this_point,mirathorn_distance_estimate_from_play,prior_only,prior_campaign_memory,prior_campaign_memory,mirathorn,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/Session Recaps/Session 3 - The Stone Bridge Flood.md,session_recap,session_memory,"['Mirathorn', 'week on foot']",True,True,True,True,True,True,False,True,True,ok_or_later_stage,retrieval_probe_hit uses query_session_memory_candidate over Step2C record universe
q03_how_far_away_is_mirathorn_at_this_point,mirathorn_exact_route_gap,prior_only,known_gaps_and_safety_constraints,known_gaps_and_safety_constraints,route_gap,known_gap:mirathorn_exact_route_gap,known_context_gap,support,"['exact route', 'unknown']",n/a,True,n/a,n/a,n/a,n/a,False,False,False,known_gap_missing_from_packet,known_context_gap audited from packet known_context_gaps rather than filesystem/records
q03_how_far_away_is_mirathorn_at_this_point,stone_bridge_location_context,prior_only,location_worldbuilding,location_worldbuilding,stone_bridge,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/Locations/stone_bridge/README.md,location_hub,location,"['Stone Bridge', 'Mirathorn']",True,True,True,True,True,True,False,False,True,source_exists_but_step2c_miss,retrieval_probe_hit uses query_session_memory_candidate over Step2C record universe
q05_there_is_a_gigantic_tree_growing_in_hemp,hempholm_location_context,prior_only,location_worldbuilding,location_worldbuilding,hempholm_hub,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/Locations/hempholm/README.md,location_hub,location,"['Hempholm', 'giant tree']",True,True,True,True,True,True,False,True,True,ok_or_later_stage,retrieval_probe_hit uses query_session_memory_candidate over Step2C record universe
q05_there_is_a_gigantic_tree_growing_in_hemp,hempholm_tree_support_context,prior_plus_support_content_only,support_knowledge,support_knowledge,hempholm_support,support:hempholm_tree_visible_threat,support_knowledge_card,support,"['Hempholm', 'visible threat', 'giant tree']",True,True,True,True,True,True,False,False,True,source_exists_but_step2c_miss,retrieval_probe_hit uses query_session_memory_candidate over Step2C record universe
q05_there_is_a_gigantic_tree_growing_in_hemp,hempholm_tree_support_context,prior_plus_support_content_plus_lexical_hints,support_knowledge,support_knowledge,hempholm_support,support:hempholm_tree_visible_threat,support_knowledge_card,support,"['Hempholm', 'visible threat', 'giant tree']",True,True,True,True,True,True,False,False,True,source_exists_but_step2c_miss,retrieval_probe_hit uses query_session_memory_candidate over Step2C record universe
