question_number,question_id,mode,authority_label,support_allowed_for_mode,query_affordances,expected_support_refs_eval_only,baseline_pr65_first_any_support_candidate_rank,first_any_support_candidate_rank,first_required_support_candidate_rank,first_required_support_candidate_ref,first_required_support_admitted_rank,required_support_rendered,support_token_share,support_match_channels,policy_classification,next_failure_surface
1,q01_who_are_the_npcs_the_players_encountered,prior_only,prior_recap_supported,False,,,,,,,,False,0.0016,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
2,q02_if_the_players_are_not_ready_to_leave_to,prior_only,mixed,False,,,,,,,,False,0.0019,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
3,q03_how_far_away_is_mirathorn_at_this_point,prior_only,worldbuilding_required,False,,support:campaign2_mireward_tracker_do_not_backport|support:elderwyld_fantastic_livestock|support:elderwyld_reaches_distance_unit|support:elderwyld_road_grammar_general|support:elderwyld_travel_safe_generation_guidance|support:elderwyld_world_layer_overview|support:hempholm_support_overview|support:migrating_forest_pressure_logic|support:mirathorn_city_destination_node|support:mirathorn_final_approach_from_east|support:mireward_reach_northbound_route_warning|support:pre_era_conical_hills_world_ecology|support:stone_bridge_to_mirathorn_route_gap,,,,,,False,0.0018,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
4,q04_we_need_a_good_hemp_dealing_merchant_who,prior_only,support_knowledge_required,False,,support:hempholm_hemp_economy|support:hempholm_road_hook_merchant_role|support:hempholm_saladin_optional|support:hempholm_support_overview,,,,,,False,0.0016,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_required_policy_suppressed_expected,support_required_policy_suppressed_expected
5,q05_there_is_a_gigantic_tree_growing_in_hemp,prior_only,support_knowledge_required,False,,support:hempholm_road_hook_merchant_role|support:hempholm_tree_visible_threat,,,,,,False,0.0015,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_required_policy_suppressed_expected,tier_a_gold_regression
6,q06_what_are_some_rumors_that_the_npc_could,prior_only,mixed,False,,support:hempholm_hemp_economy|support:hempholm_road_hook_merchant_role,,,,,,False,0.0016,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
7,q07_what_is_the_tone_of_the_road_from_stone,prior_only,worldbuilding_required,False,,support:elderwyld_fantastic_livestock|support:elderwyld_reaches_distance_unit|support:elderwyld_road_grammar_general|support:migrating_forest_pressure_logic|support:mirathorn_final_approach_from_east|support:pre_era_conical_hills_world_ecology,,,,,,False,0.0026,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
8,q08_give_me_three_small_road_events_that_can,prior_only,creative_generation,False,,support:conical_hill_night_camp_texture|support:elderwyld_fantastic_livestock|support:elderwyld_road_grammar_general|support:geomantic_drake_ecology|support:migrating_forest_pressure_logic|support:pre_era_conical_hills_world_ecology,,,,,,False,0.0019,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
9,q09_the_players_are_likely_still_riding_the,prior_only,prior_recap_supported,False,,support:conical_hill_night_camp_texture,,,,,,False,0.0028,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
10,q10_as_the_party_approaches_hempholm__what_s,prior_only,support_knowledge_required,False,,support:hempholm_support_overview|support:hempholm_tree_visible_threat,,,,,,False,0.0019,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_required_policy_suppressed_expected,support_required_policy_suppressed_expected
