probe,mode,top_k,hit_count,top_refs,expected_refs_hit,expected_paths_hit,first_expected_rank,source_kinds_seen,subject_classes_seen,notes
Pippa Pippa Goldwhistle,prior_only,10,10,"['corpus:npc:pippa:package-notes', 'corpus:npc:pippa:pippa-goldwhistle', 'corpus:npc:pippa:mechanical-sheets-priority-highest-first', 'corpus:npc:pippa:session-3-state', 'corpus:npc:pippa:session-recaps-no-pinned-default']",True,True,1,[''],,actual retrieval probe
Pippa Pippa Goldwhistle,prior_only,20,20,"['corpus:npc:pippa:package-notes', 'corpus:npc:pippa:pippa-goldwhistle', 'corpus:npc:pippa:mechanical-sheets-priority-highest-first', 'corpus:npc:pippa:session-3-state', 'corpus:npc:pippa:session-recaps-no-pinned-default']",True,True,1,[''],,actual retrieval probe
Pippa Pippa Goldwhistle,prior_only,50,46,"['corpus:npc:pippa:package-notes', 'corpus:npc:pippa:pippa-goldwhistle', 'corpus:npc:pippa:mechanical-sheets-priority-highest-first', 'corpus:npc:pippa:session-3-state', 'corpus:npc:pippa:session-recaps-no-pinned-default']",True,True,1,[''],,actual retrieval probe
Pippa Pippa Goldwhistle,prior_only,10,10,"['corpus:npc:pippa:package-notes', 'corpus:npc:pippa:pippa-goldwhistle', 'corpus:npc:pippa:mechanical-sheets-priority-highest-first', 'corpus:npc:pippa:session-3-state', 'corpus:npc:pippa:session-recaps-no-pinned-default']",True,True,2,[''],,actual retrieval probe
Pippa Pippa Goldwhistle,prior_only,20,20,"['corpus:npc:pippa:package-notes', 'corpus:npc:pippa:pippa-goldwhistle', 'corpus:npc:pippa:mechanical-sheets-priority-highest-first', 'corpus:npc:pippa:session-3-state', 'corpus:npc:pippa:session-recaps-no-pinned-default']",True,True,2,[''],,actual retrieval probe
Pippa Pippa Goldwhistle,prior_only,50,46,"['corpus:npc:pippa:package-notes', 'corpus:npc:pippa:pippa-goldwhistle', 'corpus:npc:pippa:mechanical-sheets-priority-highest-first', 'corpus:npc:pippa:session-3-state', 'corpus:npc:pippa:session-recaps-no-pinned-default']",True,True,2,[''],,actual retrieval probe
Bubbles Float Goat,prior_only,10,10,"['corpus:npc:bubbles_the_float_goat:bubbles-the-float-goat', 'corpus:npc:bubbles_the_float_goat:mechanical-sheets-priority-highest-first', 'corpus:npc:bubbles_the_float_goat:source-pointers', 'corpus:npc:bubbles_the_float_goat:suggested-reads-in-order', 'u-L0034-02']",True,True,2,[''],,actual retrieval probe
Bubbles Float Goat,prior_only,20,20,"['corpus:npc:bubbles_the_float_goat:bubbles-the-float-goat', 'corpus:npc:bubbles_the_float_goat:mechanical-sheets-priority-highest-first', 'corpus:npc:bubbles_the_float_goat:source-pointers', 'corpus:npc:bubbles_the_float_goat:suggested-reads-in-order', 'u-L0034-02']",True,True,2,[''],,actual retrieval probe
Bubbles Float Goat,prior_only,50,50,"['corpus:npc:bubbles_the_float_goat:bubbles-the-float-goat', 'corpus:npc:bubbles_the_float_goat:mechanical-sheets-priority-highest-first', 'corpus:npc:bubbles_the_float_goat:source-pointers', 'corpus:npc:bubbles_the_float_goat:suggested-reads-in-order', 'u-L0034-02']",True,True,2,[''],,actual retrieval probe
Bubbles Float Goat,prior_only,10,10,"['corpus:npc:bubbles_the_float_goat:bubbles-the-float-goat', 'corpus:npc:bubbles_the_float_goat:mechanical-sheets-priority-highest-first', 'corpus:npc:bubbles_the_float_goat:source-pointers', 'corpus:npc:bubbles_the_float_goat:suggested-reads-in-order', 'u-L0034-02']",True,True,1,[''],,actual retrieval probe
