question_number,question_id,beat_id,beat_number,mode,planner_facing,authority_label,oracle_risk,expected_mode_behavior,prompt_payload_valid,forbidden_prompt_key_hits,forbidden_prompt_value_hits,rendered_context_present,admitted_context_count,rendered_section_count,estimated_rendered_tokens,support_knowledge_allowed,support_required,support_context_rendered,first_support_candidate_rank,first_support_admitted_rank,support_token_share,source_derived_gap_count,known_context_gaps_leaked,must_not_include_term_count,must_not_include_terms_in_prompt_payload,generated_answer_control_leak,retrieval_sufficiency_class,next_failure_surface
1,q01_who_are_the_npcs_the_players_encountered,beat_01_stone_bridge_morning,1,prior_only,True,prior_recap_supported,low,should_answer_well,True,0,0,True,12,5,1362,False,False,False,,,0.0015,0,False,0,,False,ok_or_later_stage,ok_or_later_stage
2,q02_if_the_players_are_not_ready_to_leave_to,beat_01_stone_bridge_morning,1,prior_only,True,mixed,low,should_answer_well,True,0,0,True,9,5,1094,False,False,False,,,0.0018,0,False,0,,False,needs_manual_review,ok_or_later_stage
3,q03_how_far_away_is_mirathorn_at_this_point,beat_01_stone_bridge_morning,1,prior_only,True,worldbuilding_required,medium,should_partially_answer_and_admit_gaps,True,0,0,True,9,5,1140,False,False,False,,,0.0018,1,False,0,,False,ok_or_later_stage,ok_or_later_stage
4,q04_we_need_a_good_hemp_dealing_merchant_who,beat_02_road_hook_merchant,2,prior_only,True,support_knowledge_required,high,should_generate_generic_and_admit_missing_support,True,0,0,True,15,5,1742,False,True,False,,,0.0011,0,False,6,,False,needs_manual_review,support_missing_constraint_not_admitted
5,q05_there_is_a_gigantic_tree_growing_in_hemp,beat_02_road_hook_merchant,2,prior_only,True,support_knowledge_required,high,should_generate_generic_and_admit_missing_support,True,0,0,True,12,5,1577,False,True,False,,,0.0013,0,False,6,,False,ok_or_later_stage,ok_or_later_stage
6,q06_what_are_some_rumors_that_the_npc_could,beat_02_road_hook_merchant,2,prior_only,True,mixed,medium,should_generate_generic_options_and_admit_no_support,True,0,0,True,12,5,1367,False,False,False,,,0.0015,0,False,6,,False,needs_manual_review,ok_or_later_stage
7,q07_what_is_the_tone_of_the_road_from_stone,beat_03_travel_texture,3,prior_only,True,worldbuilding_required,medium,should_answer_well,True,0,0,True,10,5,1131,False,False,False,,,0.0018,1,False,0,,False,ok_or_later_stage,ok_or_later_stage
8,q08_give_me_three_small_road_events_that_can,beat_03_travel_texture,3,prior_only,True,creative_generation,low,should_answer_well,True,0,0,True,8,5,1073,False,False,False,,,0.0019,0,False,0,,False,creative_generation_no_strict_context_required,ok_or_later_stage
9,q09_the_players_are_likely_still_riding_the,beat_03_travel_texture,3,prior_only,True,prior_recap_supported,low,should_answer_well,True,0,0,True,8,5,935,False,False,False,,,0.0021,0,False,0,,False,ok_or_later_stage,ok_or_later_stage
10,q10_as_the_party_approaches_hempholm__what_s,beat_04_arrival_at_crisis_site,4,prior_only,True,support_knowledge_required,high,should_generate_generic_and_admit_missing_support,True,0,0,True,8,5,1077,False,True,False,,,0.0019,0,False,4,,False,needs_manual_review,support_missing_constraint_not_admitted
11,q11_what_are_the_first_three_npcs_the_player,beat_04_arrival_at_crisis_site,4,prior_only,True,support_knowledge_required,high,should_generate_generic_and_admit_missing_support,True,0,0,True,13,5,1501,False,True,False,,,0.0013,0,False,4,,False,needs_manual_review,support_missing_constraint_not_admitted
12,q12_what_questions_are_the_players_most_like,beat_04_arrival_at_crisis_site,4,prior_only,True,mixed,medium,should_answer_well,True,0,0,True,12,5,1532,False,False,False,,,0.0013,0,False,4,,False,needs_manual_review,ok_or_later_stage
13,q13_what_observable_clues_should_reveal_that,beat_05_investigation_of_visible_threat,5,prior_only,True,support_knowledge_required,high,should_generate_generic_and_admit_missing_support,True,0,0,True,10,5,1299,False,True,False,,,0.0015,0,False,3,,False,needs_manual_review,support_missing_constraint_not_admitted
14,q14_what_skill_checks_should_be_available_fo,beat_05_investigation_of_visible_threat,5,prior_only,True,mixed,medium,should_answer_well,True,0,0,True,12,5,1539,False,False,False,,,0.0013,0,False,3,,False,needs_manual_review,ok_or_later_stage
15,q15_how_do_i_teach_the_tree_s_reach_and_move,beat_05_investigation_of_visible_threat,5,prior_only,True,creative_generation,low,should_answer_well,True,0,0,True,12,5,1477,False,False,False,,,0.0014,0,False,3,,False,creative_generation_no_strict_context_required,ok_or_later_stage
16,q16_who_in_town_wants_to_attack_or_burn_the,beat_06_local_social_pressure,6,prior_only,True,creative_generation,medium,should_answer_well,True,0,0,True,12,5,1364,False,False,False,,,0.0015,0,False,0,,False,creative_generation_no_strict_context_required,ok_or_later_stage
17,q17_how_can_stafl_or_another_social_characte,beat_06_local_social_pressure,6,prior_only,True,mixed,low,should_answer_well,True,0,0,True,12,5,1511,False,False,False,,,0.0013,0,False,0,,False,needs_manual_review,ok_or_later_stage
18,q18_what_happens_if_the_party_fails_to_stop,beat_06_local_social_pressure,6,prior_only,True,creative_generation,medium,should_answer_well,True,0,0,True,7,5,901,False,False,False,,,0.0022,0,False,0,,False,creative_generation_no_strict_context_required,ok_or_later_stage
19,q19_what_triggers_the_tree_to_escalate_from,beat_07_escalation_first_set_piece,7,prior_only,True,creative_generation,high,should_answer_well,True,0,0,True,7,5,825,False,False,False,,,0.0024,0,False,3,,False,creative_generation_no_strict_context_required,ok_or_later_stage
20,q20_design_the_tree_encounter_as_a_battlefie,beat_07_escalation_first_set_piece,7,prior_only,True,support_knowledge_required,low,should_generate_generic_and_admit_missing_support,True,0,0,True,12,5,1535,False,True,False,,,0.0013,0,False,3,,False,needs_manual_review,support_missing_constraint_not_admitted
21,q21_what_should_each_type_of_pc_be_able_to_c,beat_07_escalation_first_set_piece,7,prior_only,True,mixed,low,should_answer_well,True,0,0,True,10,5,1187,False,False,False,,,0.0017,0,False,3,,False,needs_manual_review,ok_or_later_stage
22,q22_if_the_party_defeats_the_tree__what_rema,beat_08_first_victory_remains_loot,8,prior_only,True,support_knowledge_required,high,should_generate_generic_and_admit_missing_support,True,0,0,True,12,5,1574,False,True,False,,,0.0013,0,False,2,,False,needs_manual_review,support_missing_constraint_not_admitted
23,q23_how_would_local_craftspeople__farmers__c,beat_08_first_victory_remains_loot,8,prior_only,True,creative_generation,low,should_answer_well,True,0,0,True,6,5,805,False,False,False,,,0.0025,0,False,2,,False,creative_generation_no_strict_context_required,ok_or_later_stage
24,q24_what_questions_should_the_weird_remains,beat_08_first_victory_remains_loot,8,prior_only,True,creative_generation,medium,should_answer_well,True,0,0,True,12,5,1478,False,False,False,,,0.0014,0,False,2,,False,creative_generation_no_strict_context_required,ok_or_later_stage
25,q25_how_does_hempholm_celebrate_if_the_visib,beat_09_celebration_decompression,9,prior_only,True,support_knowledge_required,low,should_generate_generic_and_admit_missing_support,True,0,0,True,15,5,1800,False,True,False,,,0.0011,0,False,3,,False,needs_manual_review,support_missing_constraint_not_admitted
26,q26_what_social_friction_should_exist_during,beat_09_celebration_decompression,9,prior_only,True,creative_generation,medium,should_answer_well,True,0,0,True,13,5,1583,False,False,False,,,0.0013,0,False,3,,False,creative_generation_no_strict_context_required,ok_or_later_stage
27,q27_which_pcs_are_likely_to_participate_in_c,beat_09_celebration_decompression,9,prior_only,True,mixed,low,should_answer_well,True,0,0,True,5,5,616,False,False,False,,,0.0032,0,False,3,,False,needs_manual_review,ok_or_later_stage
28,q28_what_is_the_deeper_problem_beneath_the_v,beat_10_deeper_horror_reveal,10,prior_only,True,support_knowledge_required,high,should_generate_generic_and_admit_missing_support,True,0,0,True,12,5,1557,False,True,False,,,0.0013,0,False,3,,False,needs_manual_review,support_missing_constraint_not_admitted
29,q29_how_do_i_foreshadow_the_deeper_threat_be,beat_10_deeper_horror_reveal,10,prior_only,True,creative_generation,medium,should_answer_well,True,0,0,True,12,5,1479,False,False,False,,,0.0014,0,False,3,,False,creative_generation_no_strict_context_required,ok_or_later_stage
30,q30_what_should_the_cliffhanger_look_like_if,beat_10_deeper_horror_reveal,10,prior_only,True,creative_generation,high,should_answer_well,True,0,0,True,12,5,1528,False,False,False,,,0.0013,0,False,3,,False,creative_generation_no_strict_context_required,ok_or_later_stage
31,q31_if_the_session_ends_on_the_deeper_threat,beat_11_next-session_emergency,11,prior_only,True,creative_generation,low,should_answer_well,True,0,0,True,12,5,1540,False,False,False,,,0.0013,0,False,0,,False,creative_generation_no_strict_context_required,ok_or_later_stage
32,q32_what_resources_are_likely_depleted_or_co,beat_11_next-session_emergency,11,prior_only,True,mixed,low,should_answer_well,True,0,0,True,12,5,1579,False,False,False,,,0.0013,0,False,0,,False,needs_manual_review,ok_or_later_stage
33,q33_what_unanswered_questions_should_the_pla,beat_11_next-session_emergency,11,prior_only,True,creative_generation,medium,should_answer_well,True,0,0,True,9,5,1094,False,False,False,,,0.0018,0,False,0,,False,creative_generation_no_strict_context_required,ok_or_later_stage
34,q34_which_facts_are_retrieved_from_prior_can,meta,,prior_only,True,mixed,low,should_answer_well,True,0,0,True,9,5,1082,False,False,False,,,0.0018,0,False,0,,False,needs_manual_review,ok_or_later_stage
36,q36_what_information_is_missing_from_the_cur,meta,,prior_only,True,worldbuilding_required,low,should_answer_well,True,0,0,True,10,5,1224,False,False,False,,,0.0016,0,False,0,,False,ok_or_later_stage,ok_or_later_stage
37,q37_what_prep_can_be_safely_generated_anyway,meta,,prior_only,True,creative_generation,low,should_answer_well,True,0,0,True,12,5,1552,False,False,False,,,0.0013,0,False,0,,False,creative_generation_no_strict_context_required,ok_or_later_stage
38,q38_what_should_the_gm_decide_manually,meta,,prior_only,True,mixed,low,should_answer_well,True,0,0,True,6,5,713,False,False,False,,,0.0028,0,False,0,,False,needs_manual_review,ok_or_later_stage
1,q01_who_are_the_npcs_the_players_encountered,beat_01_stone_bridge_morning,1,prior_plus_support_content_only,True,prior_recap_supported,low,should_answer_well,True,0,0,True,12,5,1362,True,False,False,,,0.0015,0,False,0,,False,ok_or_later_stage,ok_or_later_stage
2,q02_if_the_players_are_not_ready_to_leave_to,beat_01_stone_bridge_morning,1,prior_plus_support_content_only,True,mixed,low,should_answer_well,True,0,0,True,9,5,1094,True,False,False,,,0.0018,0,False,0,,False,needs_manual_review,ok_or_later_stage
3,q03_how_far_away_is_mirathorn_at_this_point,beat_01_stone_bridge_morning,1,prior_plus_support_content_only,True,worldbuilding_required,medium,should_answer_with_support_and_admit_exact_route_gap,True,0,0,True,9,5,1140,True,False,False,,,0.0018,1,False,0,,False,ok_or_later_stage,ok_or_later_stage
4,q04_we_need_a_good_hemp_dealing_merchant_who,beat_02_road_hook_merchant,2,prior_plus_support_content_only,True,support_knowledge_required,high,should_answer_with_support_specificity,True,0,0,True,16,5,1808,True,True,True,31,16,0.0376,0,False,6,,False,ok_or_later_stage,ok_or_later_stage
5,q05_there_is_a_gigantic_tree_growing_in_hemp,beat_02_road_hook_merchant,2,prior_plus_support_content_only,True,support_knowledge_required,high,should_answer_with_support_specificity,True,0,0,True,16,5,1473,True,True,True,22,7,0.4338,0,False,6,,False,ok_or_later_stage,ok_or_later_stage
6,q06_what_are_some_rumors_that_the_npc_could,beat_02_road_hook_merchant,2,prior_plus_support_content_only,True,mixed,medium,should_use_hempholm_support,True,0,0,True,12,5,1367,True,False,False,,,0.0015,0,False,6,,False,needs_manual_review,ok_or_later_stage
7,q07_what_is_the_tone_of_the_road_from_stone,beat_03_travel_texture,3,prior_plus_support_content_only,True,worldbuilding_required,medium,should_answer_well,True,0,0,True,10,5,1131,True,False,False,,,0.0018,1,False,0,,False,ok_or_later_stage,ok_or_later_stage
8,q08_give_me_three_small_road_events_that_can,beat_03_travel_texture,3,prior_plus_support_content_only,True,creative_generation,low,should_answer_well,True,0,0,True,9,5,1146,True,False,True,19,9,0.0654,0,False,0,,False,creative_generation_no_strict_context_required,ok_or_later_stage
9,q09_the_players_are_likely_still_riding_the,beat_03_travel_texture,3,prior_plus_support_content_only,True,prior_recap_supported,low,should_answer_well,True,0,0,True,8,5,935,True,False,False,,,0.0021,0,False,0,,False,ok_or_later_stage,ok_or_later_stage
10,q10_as_the_party_approaches_hempholm__what_s,beat_04_arrival_at_crisis_site,4,prior_plus_support_content_only,True,support_knowledge_required,high,should_answer_with_support_specificity,True,0,0,True,8,5,1077,True,True,False,,,0.0019,0,False,4,,False,support_expected_but_missing,support_expected_but_missing
11,q11_what_are_the_first_three_npcs_the_player,beat_04_arrival_at_crisis_site,4,prior_plus_support_content_only,True,support_knowledge_required,high,should_answer_with_support_specificity,True,0,0,True,13,5,1501,True,True,False,,,0.0013,0,False,4,,False,support_expected_but_missing,support_expected_but_missing
12,q12_what_questions_are_the_players_most_like,beat_04_arrival_at_crisis_site,4,prior_plus_support_content_only,True,mixed,medium,should_answer_well,True,0,0,True,16,5,1477,True,False,True,18,7,0.4326,0,False,4,,False,needs_manual_review,ok_or_later_stage
13,q13_what_observable_clues_should_reveal_that,beat_05_investigation_of_visible_threat,5,prior_plus_support_content_only,True,support_knowledge_required,high,should_answer_with_support_specificity,True,0,0,True,9,5,938,True,True,True,17,7,0.2026,0,False,3,,False,ok_or_later_stage,ok_or_later_stage
14,q14_what_skill_checks_should_be_available_fo,beat_05_investigation_of_visible_threat,5,prior_plus_support_content_only,True,mixed,medium,should_answer_well,True,0,0,True,10,5,1085,True,False,True,17,8,0.2194,0,False,3,,False,needs_manual_review,ok_or_later_stage
15,q15_how_do_i_teach_the_tree_s_reach_and_move,beat_05_investigation_of_visible_threat,5,prior_plus_support_content_only,True,creative_generation,low,should_answer_well,True,0,0,True,6,5,783,True,False,False,,,0.0026,0,False,3,,False,creative_generation_no_strict_context_required,ok_or_later_stage
16,q16_who_in_town_wants_to_attack_or_burn_the,beat_06_local_social_pressure,6,prior_plus_support_content_only,True,creative_generation,medium,should_answer_well,True,0,0,True,12,5,1364,True,False,False,,,0.0015,0,False,0,,False,creative_generation_no_strict_context_required,ok_or_later_stage
17,q17_how_can_stafl_or_another_social_characte,beat_06_local_social_pressure,6,prior_plus_support_content_only,True,mixed,low,should_answer_well,True,0,0,True,12,5,1511,True,False,False,,,0.0013,0,False,0,,False,needs_manual_review,ok_or_later_stage
18,q18_what_happens_if_the_party_fails_to_stop,beat_06_local_social_pressure,6,prior_plus_support_content_only,True,creative_generation,medium,should_answer_well,True,0,0,True,7,5,901,True,False,False,,,0.0022,0,False,0,,False,creative_generation_no_strict_context_required,ok_or_later_stage
19,q19_what_triggers_the_tree_to_escalate_from,beat_07_escalation_first_set_piece,7,prior_plus_support_content_only,True,creative_generation,high,should_answer_well,True,0,0,True,7,5,825,True,False,False,,,0.0024,0,False,3,,False,creative_generation_no_strict_context_required,ok_or_later_stage
20,q20_design_the_tree_encounter_as_a_battlefie,beat_07_escalation_first_set_piece,7,prior_plus_support_content_only,True,support_knowledge_required,low,should_answer_with_support_specificity,True,0,0,True,7,5,846,True,True,False,,,0.0024,0,False,3,,False,support_expected_but_missing,support_expected_but_missing
