question_id,question_number,retrieval_mode,variant_index,variant_role,target_lane,query,reason,hit_count,top_unit_ids,expected_target_hit,expected_target_rank
q01_who_are_the_npcs_the_players_encountered,1,prior_only,0,literal_question,all,"Who are the NPCs the players encountered in Stone Bridge, how do they think about the party, and what are they doing in the morning after the events of the prior night's flood? Prepare dialogue, a visual description, and emotional/mental states for those NPCs.",original planner question,50,u-L0034-01|corpus:session_recap:session-3:observed-play-prose|u-L0003-01|u-L0041-05|u-L0043-01,,
q01_who_are_the_npcs_the_players_encountered,1,prior_only,1,npc_target_alias,character_party_behavior,Pippa Bubbles Grishna Stone Bridge River's Edge Pub NPCs,PR58 C1S4 target NPC and location family for broad encounter recall,20,u-L0034-02|u-L0036-01|u-L0034-03|u-L0005-02|u-L0011-02,,
q01_who_are_the_npcs_the_players_encountered,1,prior_only,2,npc_target_alias,character_party_behavior,encountered NPCs Pippa Bubbles Grishna,PR58 target NPC continuity aliases for broad NPC question,20,u-L0034-02|u-L0034-03|u-L0034-04|u-L0034-05|u-L0036-01,,
q01_who_are_the_npcs_the_players_encountered,1,prior_only,3,npc_target_alias,character_party_behavior,Grishna River's Edge Pub,Grishna pub anchor for thin hub recall,20,u-L0005-02|u-L0011-02|u-L0007-01|corpus:location:rivers_edge_pub:canon-summary|corpus:location:rivers_edge_pub:retrieval-keywords,,
q02_if_the_players_are_not_ready_to_leave_to,2,prior_only,0,literal_question,all,"If the players are not ready to leave town, what are some ways we could motivate them to get on the road?",original planner question,50,corpus:session_recap:session-3:observed-play-prose|u-L0034-01|u-L0007-01|u-L0011-03|meta-session-0001-locations,,
q02_if_the_players_are_not_ready_to_leave_to,2,prior_only,1,route_distance_alias,prior_campaign_memory,Stone Bridge Mirathorn route travel week on foot,Session 3 distance estimate and route context,20,corpus:location:stone_bridge:open-canon-questions|meta-session-0003-locations|corpus:location:stone_bridge:canon-summary|corpus:location:stone_bridge:retrieval-keywords|u-L0003-01,,
q02_if_the_players_are_not_ready_to_leave_to,2,prior_only,2,route_distance_alias,prior_campaign_memory,Stone Bridge to Mirathorn exact route unknown,Route gap plus Stone Bridge anchor,20,meta-session-0003-locations|corpus:location:stone_bridge:open-canon-questions|corpus:location:stone_bridge:canon-summary|corpus:location:stone_bridge:retrieval-keywords|u-L0043-03,,
q02_if_the_players_are_not_ready_to_leave_to,2,prior_only,3,route_distance_alias,prior_campaign_memory,Mirathorn week on foot Stone Bridge,Mirathorn travel-time phrasing from play recap,20,meta-session-0003-locations|corpus:location:stone_bridge:open-canon-questions|corpus:location:stone_bridge:canon-summary|corpus:location:stone_bridge:retrieval-keywords|u-L0043-02,,
q03_how_far_away_is_mirathorn_at_this_point,3,prior_only,0,literal_question,all,How far away is Mirathorn at this point? Is anyone traveling that direction? What will they see and encounter on the road?,original planner question,50,corpus:location:hempholm:canon-summary|corpus:npc:bubbles_the_float_goat:suggested-reads-in-order|u-L0034-03|u-L0034-04|u-L0043-04,,
q03_how_far_away_is_mirathorn_at_this_point,3,prior_only,1,route_distance_alias,prior_campaign_memory,Stone Bridge Mirathorn route travel week on foot,Session 3 distance estimate and route context,20,corpus:location:stone_bridge:open-canon-questions|meta-session-0003-locations|corpus:location:stone_bridge:canon-summary|corpus:location:stone_bridge:retrieval-keywords|u-L0003-01,,
q03_how_far_away_is_mirathorn_at_this_point,3,prior_only,2,route_distance_alias,prior_campaign_memory,Stone Bridge to Mirathorn exact route unknown,Route gap plus Stone Bridge anchor,20,meta-session-0003-locations|corpus:location:stone_bridge:open-canon-questions|corpus:location:stone_bridge:canon-summary|corpus:location:stone_bridge:retrieval-keywords|u-L0043-03,,
q03_how_far_away_is_mirathorn_at_this_point,3,prior_only,3,route_distance_alias,prior_campaign_memory,Mirathorn week on foot Stone Bridge,Mirathorn travel-time phrasing from play recap,20,meta-session-0003-locations|corpus:location:stone_bridge:open-canon-questions|corpus:location:stone_bridge:canon-summary|corpus:location:stone_bridge:retrieval-keywords|u-L0043-02,,
q04_we_need_a_good_hemp_dealing_merchant_who,4,prior_only,0,literal_question,all,"We need a good hemp-dealing merchant who will plant the hook for stopping in Hempholm. Give me a list of NPC names, first and last, with a brief description of appearance and attitude.",original planner question,50,u-L0005-03|u-L0013-01|corpus:location:hempholm:campaign-canon-npcs-anchored-here|u-L0034-01|corpus:location:hempholm:canon-summary,,
q04_we_need_a_good_hemp_dealing_merchant_who,4,prior_only,1,npc_target_alias,character_party_behavior,Pippa Bubbles Grishna Stone Bridge River's Edge Pub NPCs,PR58 C1S4 target NPC and location family for broad encounter recall,20,u-L0034-02|u-L0036-01|u-L0034-03|u-L0005-02|u-L0011-02,,
q04_we_need_a_good_hemp_dealing_merchant_who,4,prior_only,2,npc_target_alias,character_party_behavior,encountered NPCs Pippa Bubbles Grishna,PR58 target NPC continuity aliases for broad NPC question,20,u-L0034-02|u-L0034-03|u-L0034-04|u-L0034-05|u-L0036-01,,
q04_we_need_a_good_hemp_dealing_merchant_who,4,prior_only,3,npc_target_alias,character_party_behavior,Grishna River's Edge Pub,Grishna pub anchor for thin hub recall,20,u-L0005-02|u-L0011-02|u-L0007-01|corpus:location:rivers_edge_pub:canon-summary|corpus:location:rivers_edge_pub:retrieval-keywords,,
q05_there_is_a_gigantic_tree_growing_in_hemp,5,prior_only,0,literal_question,all,"There is a gigantic tree growing in Hempholm that can be seen from quite a ways away, it is kinda shiny and metallic and probably magical. How might this be described by the merchant we created who got out of town quick?",original planner question,50,corpus:location:hempholm:canon-summary|corpus:session_recap:session-3:observed-play-prose|corpus:location:hempholm:campaign-canon-npcs-anchored-here|u-L0007-01|corpus:location:hempholm:sub-locations-and-scene-anchors,,
q06_what_are_some_rumors_that_the_npc_could,6,prior_only,0,literal_question,all,What are some rumors that the NPC could share? What do they think of the players in their current context?,original planner question,50,corpus:npc:bubbles_the_float_goat:float-goat-species-context|u-L0007-01|u-L0034-01|u-L0043-01|corpus:npc:bubbles_the_float_goat:mechanical-sheets-priority-highest-first,,
q06_what_are_some_rumors_that_the_npc_could,6,prior_only,1,npc_target_alias,character_party_behavior,Pippa Bubbles Grishna Stone Bridge River's Edge Pub NPCs,PR58 C1S4 target NPC and location family for broad encounter recall,20,u-L0034-02|u-L0036-01|u-L0034-03|u-L0005-02|u-L0011-02,,
q06_what_are_some_rumors_that_the_npc_could,6,prior_only,2,npc_target_alias,character_party_behavior,encountered NPCs Pippa Bubbles Grishna,PR58 target NPC continuity aliases for broad NPC question,20,u-L0034-02|u-L0034-03|u-L0034-04|u-L0034-05|u-L0036-01,,
q06_what_are_some_rumors_that_the_npc_could,6,prior_only,3,npc_target_alias,character_party_behavior,Grishna River's Edge Pub,Grishna pub anchor for thin hub recall,20,u-L0005-02|u-L0011-02|u-L0007-01|corpus:location:rivers_edge_pub:canon-summary|corpus:location:rivers_edge_pub:retrieval-keywords,,
q07_what_is_the_tone_of_the_road_from_stone,7,prior_only,0,literal_question,all,"What is the tone of the road from Stone Bridge toward Mirathorn after the flood? What sensory details should I use to make the transition feel like travel, not teleportation?",original planner question,50,corpus:location:stone_bridge:canon-summary|meta-session-0003-locations|u-L0034-04|u-L0034-01|u-L0036-01,,
q07_what_is_the_tone_of_the_road_from_stone,7,prior_only,1,route_distance_alias,prior_campaign_memory,Stone Bridge Mirathorn route travel week on foot,Session 3 distance estimate and route context,20,corpus:location:stone_bridge:open-canon-questions|meta-session-0003-locations|corpus:location:stone_bridge:canon-summary|corpus:location:stone_bridge:retrieval-keywords|u-L0003-01,,
q07_what_is_the_tone_of_the_road_from_stone,7,prior_only,2,route_distance_alias,prior_campaign_memory,Stone Bridge to Mirathorn exact route unknown,Route gap plus Stone Bridge anchor,20,meta-session-0003-locations|corpus:location:stone_bridge:open-canon-questions|corpus:location:stone_bridge:canon-summary|corpus:location:stone_bridge:retrieval-keywords|u-L0043-03,,
q07_what_is_the_tone_of_the_road_from_stone,7,prior_only,3,route_distance_alias,prior_campaign_memory,Mirathorn week on foot Stone Bridge,Mirathorn travel-time phrasing from play recap,20,meta-session-0003-locations|corpus:location:stone_bridge:open-canon-questions|corpus:location:stone_bridge:canon-summary|corpus:location:stone_bridge:retrieval-keywords|u-L0043-02,,
q08_give_me_three_small_road_events_that_can,8,prior_only,0,literal_question,all,"Give me three small road events that can happen before the Hempholm hook lands: one comic, one eerie, and one character-focused.",original planner question,50,corpus:location:hempholm:canon-location-texture|corpus:location:hempholm:canon-summary|corpus:location:hempholm:sub-locations-and-scene-anchors|corpus:location:hempholm:campaign-canon-npcs-anchored-here|corpus:npc:bubbles_the_float_goat:suggested-reads-in-order,,
q09_the_players_are_likely_still_riding_the,9,prior_only,0,literal_question,all,The players are likely still riding the emotional high of saving Bubbles and Stone Bridge. How can I use that to frame the first road encounter?,original planner question,50,u-L0034-01|u-L0034-02|u-L0034-04|corpus:location:stone_bridge:canon-summary|u-L0034-05,,
q10_as_the_party_approaches_hempholm__what_s,10,prior_only,0,literal_question,all,"As the party approaches Hempholm, what should they see first from a distance? Give me a boxed-text style description and a shorter improvised version.",original planner question,50,corpus:location:hempholm:canon-summary|u-L0009-01|u-L0013-02|corpus:location:hempholm:campaign-canon-npcs-anchored-here|corpus:location:hempholm:canon-location-texture,,
q10_as_the_party_approaches_hempholm__what_s,10,prior_only,1,route_distance_alias,prior_campaign_memory,Stone Bridge Mirathorn route travel week on foot,Session 3 distance estimate and route context,20,corpus:location:stone_bridge:open-canon-questions|meta-session-0003-locations|corpus:location:stone_bridge:canon-summary|corpus:location:stone_bridge:retrieval-keywords|u-L0003-01,,
q10_as_the_party_approaches_hempholm__what_s,10,prior_only,2,route_distance_alias,prior_campaign_memory,Stone Bridge to Mirathorn exact route unknown,Route gap plus Stone Bridge anchor,20,meta-session-0003-locations|corpus:location:stone_bridge:open-canon-questions|corpus:location:stone_bridge:canon-summary|corpus:location:stone_bridge:retrieval-keywords|u-L0043-03,,
q10_as_the_party_approaches_hempholm__what_s,10,prior_only,3,route_distance_alias,prior_campaign_memory,Mirathorn week on foot Stone Bridge,Mirathorn travel-time phrasing from play recap,20,meta-session-0003-locations|corpus:location:stone_bridge:open-canon-questions|corpus:location:stone_bridge:canon-summary|corpus:location:stone_bridge:retrieval-keywords|u-L0043-02,,
