question_id,group_id,mode,expected_path_or_unit_id,pr62_surface,source_derived_gap_id,source_derived_gap_text,source_derived_gap_source,evidence_scope,basis_positive_refs,basis_missing_context_type,gold_gap_phrase_present,candidate_hit,admitted_hit,rendered_section_hit,actual_rendered_section_id,next_failure_surface
q01_who_are_the_npcs_the_players_encountered,pippa_character_continuity,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/NPCs/pippa/README.md,ok_or_later_stage,,,,,,,False,True,True,True,character_party_behavior,ok_or_later_stage
q01_who_are_the_npcs_the_players_encountered,pippa_character_continuity,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/NPCs/pippa/pippa_character_dossier.md,ok_or_later_stage,,,,,,,False,True,True,True,character_party_behavior,ok_or_later_stage
q01_who_are_the_npcs_the_players_encountered,bubbles_character_continuity,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/NPCs/bubbles_the_float_goat/README.md,ok_or_later_stage,,,,,,,False,True,True,True,character_party_behavior,ok_or_later_stage
q01_who_are_the_npcs_the_players_encountered,bubbles_character_continuity,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/NPCs/bubbles_the_float_goat/bubbles_the_float_goat_character_dossier.md,ok_or_later_stage,,,,,,,False,True,True,True,character_party_behavior,ok_or_later_stage
q01_who_are_the_npcs_the_players_encountered,grishna_character_continuity,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/NPCs/grishna/README.md,ok_or_later_stage,,,,,,,False,False,False,False,,ok_or_later_stage
q01_who_are_the_npcs_the_players_encountered,stone_bridge_location_support_context,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/Locations/stone_bridge/README.md,ok_or_later_stage,,,,,,,False,True,True,False,location_worldbuilding,rendered_section_mismatch
q03_how_far_away_is_mirathorn_at_this_point,mirathorn_distance_estimate_from_play,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/Session Recaps/Session 3 - The Stone Bridge Flood.md,ok_or_later_stage,,,,,,,False,True,True,False,prior_campaign_memory,rendered_section_mismatch
q03_how_far_away_is_mirathorn_at_this_point,mirathorn_exact_route_gap,prior_only,known_gap:mirathorn_exact_route_gap,known_gap_missing_from_packet,source_gap:mirathorn_exact_route_gap,"Retrieved prior context supports Stone Bridge and Mirathorn as relevant travel context, but does not establish the exact route, stops, or road encounters between them.",deterministic_absence_analysis,allowed_prior_context,corpus:location:hempholm:canon-summary|corpus:npc:bubbles_the_float_goat:bubbles-at-the-table|corpus:npc:bubbles_the_float_goat:float-goat-species-context|corpus:session_recap:session-3:observed-play-prose|corpus:npc:bubbles_the_float_goat:bubbles-the-float-goat|corpus:npc:bubbles_the_float_goat:package-notes|corpus:npc:bubbles_the_float_goat:statblock-generator-context|corpus:location:hempholm:authority-stance|corpus:location:stone_bridge:authority-stance|corpus:npc:bubbles_the_float_goat:suggested-reads-in-order|corpus:npc:bubbles_the_float_goat:mechanical-sheets-priority-highest-first|corpus:npc:bubbles_the_float_goat:source-pointers|corpus:location:hempholm:retrieval-keywords|corpus:npc:bubbles_the_float_goat:session-recaps-no-pinned-default|corpus:location:hempholm:campaign-canon-npcs-anchored-here|corpus:location:hempholm:canon-location-texture|corpus:location:hempholm:open-canon-questions|corpus:location:hempholm:sub-locations-and-scene-anchors|corpus:location:hempholm:timeline-pointers|corpus:location:rivers_edge_pub:npc-and-social-anchors|corpus:location:stone_bridge:campaign-canon-npcs-anchored-here|corpus:location:stone_bridge:open-canon-questions|corpus:location:stone_bridge:canon-summary|corpus:location:stone_bridge:retrieval-keywords|corpus:location:stone_bridge:canonical-name-and-legacy-spellings|corpus:location:stone_bridge:cross-references|corpus:location:stone_bridge:suggested-reads|corpus:location:stone_bridge:canon-location-texture|corpus:location:stone_bridge:sub-locations-and-scene-anchors|corpus:location:stone_bridge:timeline-pointers,route_gazetteer,False,False,False,True,known_gaps_and_safety_constraints,ok_or_later_stage
q03_how_far_away_is_mirathorn_at_this_point,stone_bridge_location_context,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/Locations/stone_bridge/README.md,ok_or_later_stage,,,,,,,False,True,True,True,location_worldbuilding,ok_or_later_stage
q05_there_is_a_gigantic_tree_growing_in_hemp,hempholm_location_context,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/Locations/hempholm/README.md,ok_or_later_stage,,,,,,,False,True,True,False,location_worldbuilding,rendered_section_mismatch
q05_there_is_a_gigantic_tree_growing_in_hemp,hempholm_tree_support_context,prior_plus_support_content_only,support:hempholm_tree_visible_threat,ok_or_later_stage,,,,,,,False,True,True,True,support_knowledge,ok_or_later_stage
q05_there_is_a_gigantic_tree_growing_in_hemp,hempholm_tree_support_context,prior_plus_support_content_plus_lexical_hints,support:hempholm_tree_visible_threat,ok_or_later_stage,,,,,,,False,True,True,True,support_knowledge,ok_or_later_stage
